timestamp,oi_sum,oi_mean,oi_std,oi_min,oi_max,ltp_mean,ltp_std,ltp_min,ltp_max,strike_min,strike_max,strike_mean,token_count,call_oi_total,call_ltp_avg,put_oi_total,put_ltp_avg,pcr,underlying_price,atm_strike,future_price,price_change,price_change_pct,direction
2025-11-11 16:45:01.546567,9868350,448561.3636363637,290669.9884961254,46940,1253940,363.125,172.65998498976728,128.35,734.8,82700.0,83700.0,83200.0,22,5097500,412.8181818181818,4770850,313.4318181818182,0.9359195684158902,83218.9,83200.0,83197.5,-21.39999999999418,-0.0257153122667977,0
2025-11-11 16:45:32.578271,9913120,450596.3636363637,292903.846900317,46980,1259240,363.33409090909095,173.46296255312149,127.05,734.8,82700.0,83700.0,83200.0,22,5125780,414.09090909090907,4787340,312.5772727272727,0.9339729758202654,83225.0,83200.0,83196.96,-28.039999999993597,-0.0336917993391331,0
2025-11-11 16:46:03.596910,9913120,450596.3636363637,292903.846900317,46980,1259240,363.83863636363634,174.73786348741706,125.15,738.6,82700.0,83700.0,83200.0,22,5125780,420.40909090909093,4787340,307.2681818181818,0.9339729758202654,83228.48,83200.0,83209.95,-18.529999999998836,-0.0222640134723099,0
2025-11-11 16:46:34.542663,9913120,450596.3636363637,292903.846900317,46980,1259240,363.875,175.01147836505984,124.65,739.8,82700.0,83700.0,83200.0,22,5125780,420.1818181818182,4787340,307.5681818181818,0.9339729758202654,83223.13,83200.0,83210.09,-13.040000000008147,-0.015668720943334,0
2025-11-11 16:47:05.552256,9913120,450596.3636363637,292903.846900317,46980,1259240,362.1636363636364,169.50229537834622,132.0,713.5,82700.0,83700.0,83200.0,22,5125780,403.27272727272725,4787340,321.05454545454546,0.9339729758202654,83214.44,83200.0,83219.1,4.6600000000034925,0.0055999896171908,0
2025-11-11 16:47:36.521912,9913120,450596.3636363637,292903.846900317,46980,1259240,362.82954545454544,169.59823298937076,132.6,717.15,82700.0,83700.0,83200.0,22,5125780,405.55909090909086,4787340,320.1,0.9339729758202654,83212.59,83200.0,83202.67,-9.919999999998254,-0.0119212729708307,0
2025-11-11 16:48:07.552520,9917060,450775.4545454546,292049.4147315171,47020,1257160,363.1113636363637,170.69429575358942,130.6,721.25,82700.0,83700.0,83200.0,22,5133360,409.0318181818182,4783700,317.1909090909091,0.9318847694297692,83202.09,83200.0,83191.9,-10.190000000002328,-0.0122472884996065,0
2025-11-11 16:48:38.547634,9917060,450775.4545454546,292049.4147315171,47020,1257160,362.35909090909087,170.00155436009547,133.0,720.0,82700.0,83700.0,83200.0,22,5133360,405.58181818181816,4783700,319.1363636363636,0.9318847694297692,83205.27,83200.0,83199.15,-6.120000000009895,-0.0073553033359664,0
2025-11-11 16:49:09.548687,9917060,450775.4545454546,292049.4147315171,47020,1257160,362.3545454545455,169.17346050802337,132.4,710.35,82700.0,83700.0,83200.0,22,5133360,403.5318181818182,4783700,321.17727272727274,0.9318847694297692,83208.4,83200.0,83211.82,3.4200000000128057,0.004110161954818,0
2025-11-11 16:49:40.518088,9917060,450775.4545454546,292049.4147315171,47020,1257160,361.04318181818184,168.51518180543184,133.45,708.8,82700.0,83700.0,83200.0,22,5133360,398.9363636363637,4783700,323.15,0.9318847694297692,83201.61,83200.0,83216.08,14.470000000001164,0.0173914903810168,0
