timestamp,oi_sum,oi_mean,oi_std,oi_min,oi_max,ltp_mean,ltp_std,ltp_min,ltp_max,strike_min,strike_max,strike_mean,token_count,call_oi_total,call_ltp_avg,put_oi_total,put_ltp_avg,pcr,underlying_price,atm_strike,future_price,price_change,price_change_pct,direction
2025-11-11 16:06:19.223333,297924825,13542037.5,11398942.78243327,165825,39991725,81.4090909090909,87.52508706537152,1.4,274.95,25200.0,25700.0,25450.0,22,161256600,92.98181818181818,136668225,69.83636363636364,0.8475201945222707,25468.9,25450.0,25464.3,-4.600000000002183,-0.0180612433202932,0
2025-11-11 16:06:49.452058,297924825,13542037.5,11398942.78243327,165825,39991725,81.87727272727273,86.05030606081638,1.6,259.0,25200.0,25700.0,25450.0,22,161256600,86.54545454545455,136668225,77.20909090909092,0.8475201945222707,25460.6,25450.0,25462.05,1.4500000000007276,0.0056950739574115,0
2025-11-11 16:07:19.712548,297924825,13542037.5,11398942.78243327,165825,39991725,81.79318181818182,86.4674633212023,1.5,264.45,25200.0,25700.0,25450.0,22,161256600,87.82727272727273,136668225,75.75909090909092,0.8475201945222707,25456.45,25450.0,25468.1,11.649999999997815,0.0457644329825948,0
2025-11-11 16:07:50.002135,287472000,13066909.090909092,11138010.350542078,177525,39596250,82.0409090909091,86.33461982360599,1.55,260.7,25200.0,25700.0,25450.0,22,165049950,86.39545454545454,122422050,77.68636363636364,0.7417272771061124,25454.1,25450.0,25471.35,17.25,0.0677690431011111,1
2025-11-11 16:08:20.288427,287472000,13066909.090909092,11138010.350542078,177525,39596250,82.13863636363637,86.28931668661205,1.55,262.3,25200.0,25700.0,25450.0,22,165049950,87.55,122422050,76.72727272727273,0.7417272771061124,25457.7,25450.0,25475.1,17.399999999997817,0.0683486725037915,1
2025-11-11 16:08:50.567805,287472000,13066909.090909092,11138010.350542078,177525,39596250,81.90681818181818,86.5283841338928,1.55,265.95,25200.0,25700.0,25450.0,22,165049950,89.10909090909091,122422050,74.70454545454545,0.7417272771061124,25458.5,25450.0,25476.05,17.549999999999272,0.068935718915094,1
2025-11-11 16:09:20.861464,287472000,13066909.090909092,11138010.350542078,177525,39596250,81.60454545454546,86.5578431827539,1.45,264.0,25200.0,25700.0,25450.0,22,165049950,87.75909090909092,122422050,75.45,0.7417272771061124,25458.65,25450.0,25477.9,19.25,0.0756128074348008,1
2025-11-11 16:09:51.139375,287472000,13066909.090909092,11138010.350542078,177525,39596250,81.50454545454545,86.63711250999344,1.45,265.9,25200.0,25700.0,25450.0,22,165049950,88.69090909090909,122422050,74.31818181818181,0.7417272771061124,25458.25,25450.0,25473.5,15.25,0.0599019964058799,1
2025-11-11 16:10:21.414961,287472000,13066909.090909092,11138010.350542078,177525,39596250,81.43181818181819,86.51318168961656,1.5,262.1,25200.0,25700.0,25450.0,22,165049950,87.02727272727272,122422050,75.83636363636364,0.7417272771061124,25455.85,25450.0,25476.15,20.30000000000291,0.0797459130219687,1
2025-11-11 16:10:51.719457,295532625,13433301.136363637,11384191.053991424,188175,39774975,81.48409090909091,86.59730473420889,1.5,265.9,25200.0,25700.0,25450.0,22,170710650,88.52272727272727,124821975,74.44545454545454,0.7311903211662542,25453.8,25450.0,25477.4,23.600000000002183,0.0927170009978946,1
2025-11-11 16:11:22.015969,295532625,13433301.136363637,11384191.053991424,188175,39774975,81.58636363636363,86.70777163748163,1.45,265.9,25200.0,25700.0,25450.0,22,170710650,88.73181818181818,124821975,74.44090909090909,0.7311903211662542,25457.45,25450.0,25479.85,22.399999999997817,0.0879899597170876,1
2025-11-11 16:11:52.390227,295532625,13433301.136363637,11384191.053991424,188175,39774975,81.43181818181819,86.74975579141494,1.45,268.15,25200.0,25700.0,25450.0,22,170710650,89.75909090909092,124821975,73.10454545454546,0.7311903211662542,25459.3,25450.0,25478.35,19.049999999999272,0.0748253094154167,1
2025-11-11 16:12:22.728804,295532625,13433301.136363637,11384191.053991424,188175,39774975,81.33181818181818,86.86537003215098,1.4,267.2,25200.0,25700.0,25450.0,22,170710650,89.19090909090909,124821975,73.47272727272728,0.7311903211662542,25457.3,25450.0,25476.25,18.950000000000728,0.0744383732760373,1
2025-11-11 16:12:53.058308,295532625,13433301.136363637,11384191.053991424,188175,39774975,81.38863636363637,86.65182510074467,1.45,265.1,25200.0,25700.0,25450.0,22,170710650,88.25454545454546,124821975,74.52272727272727,0.7311903211662542,25456.6,25450.0,25481.0,24.400000000001455,0.0958494064407712,1
2025-11-11 16:13:23.398184,295458300,13429922.727272728,11383424.367996626,188175,39774975,81.31818181818181,86.52163305794099,1.45,262.0,25200.0,25700.0,25450.0,22,170745525,86.39999999999999,124712775,76.23636363636363,0.7304014263331352,25454.9,25450.0,25482.7,27.799999999999272,0.1092127645364906,1
2025-11-11 16:13:53.733802,300098250,13640829.545454543,11452378.143756757,197400,39115050,81.14999999999999,86.65629837247289,1.4,263.85,25200.0,25700.0,25450.0,22,172869900,87.06818181818181,127228350,75.23181818181818,0.7359774605064271,25455.15,25450.0,25485.4,30.25,0.1188364633482807,1
2025-11-11 16:14:24.104652,300098250,13640829.545454543,11452378.143756757,197400,39115050,81.22045454545454,86.63183135860314,1.45,265.0,25200.0,25700.0,25450.0,22,172869900,87.93636363636364,127228350,74.50454545454545,0.7359774605064271,25455.5,25450.0,25485.65,30.150000000001455,0.1184419869969214,1
